sample,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75
sample199,0.859,0.568,0.659,0.32,-1.643,1.068,-0.687,0.646,0.767,1.024,-1.926,0.822,0.83,1.082,-0.274,0.027,-0.068,0.209,-0.745,0.358,0.81,1.115,-1.973,0.532,-0.029,0.375,-0.682,-1.113,-0.243,0.893,0.054,-0.426,0.766,0.746,0.896,-0.804,-1.373,-0.333,1.456,0.375,1.572,0.054,0.343,-2.805,0.8,1.622,-1.586,-0.938,-0.191,-0.193,1.003,-0.305,0.929,-1.278,-1.669,0.523,1.702,2.363,-0.182,-0.475,0.146,-1.272,0.877,0.82,-1.551,-3.125,0.957,0.456,0.596,0.301,-1.707,1.676,-0.134,1.837,-1.137
sample200,-1.288,-2.174,1.087,0.143,0.086,1.267,-0.874,-0.065,1.473,2.053,0.343,-1.145,0.726,-0.379,-0.751,0.067,0.359,0.124,-1.879,1.449,0.983,-0.41,1.287,2.196,0.14,-0.039,0.486,1.832,1.487,-0.493,1.201,0.872,0.335,-1.052,1.151,0.974,0.053,-0.406,-1.001,0.848,1.769,-1.841,-0.486,-0.421,-2.036,-1.339,0.131,-0.213,-0.541,0.026,0.473,-1.498,-0.325,-0.103,-1.012,-0.178,1.353,1.505,1.037,0.298,1.167,-0.876,-0.245,-0.219,-1.684,0.495,-0.057,-2.158,0.352,-0.146,0.113,0.169,-0.276,-0.613,1.553
sample201,0.716,1.488,0.263,1.0,-1.151,0.547,-1.444,-0.419,1.35,0.248,0.87,1.019,-0.117,0.975,-0.955,1.03,-0.587,0.404,1.739,-0.17,-0.497,-2.373,-0.595,2.683,-1.368,-1.554,0.403,-0.131,-0.251,1.502,-0.295,-0.287,-1.15,-0.861,-1.036,-1.073,-0.568,-0.001,-0.429,-0.527,0.296,-0.78,-2.616,-1.099,-0.516,-0.145,-0.481,0.625,0.112,-0.781,-0.26,-0.405,1.306,0.081,-1.081,-0.179,0.888,0.365,-1.503,0.224,-0.033,0.818,-0.962,0.238,-1.636,-0.514,-0.156,0.572,0.77,-0.93,1.452,-1.135,0.489,0.165,-0.884
sample202,-0.808,-0.379,-0.288,-0.489,1.753,1.504,1.109,1.663,2.058,-1.506,0.189,-0.062,-0.263,0.89,0.212,0.491,0.601,0.108,0.246,-1.349,1.665,-0.267,-0.787,0.053,-1.183,1.046,0.642,-0.601,-0.956,1.145,-1.097,0.403,-0.585,-1.633,-0.612,-1.872,0.786,1.052,0.69,0.429,0.546,-0.813,-1.145,-0.44,1.209,0.347,0.995,-1.372,0.116,-1.046,-0.096,0.467,-1.182,0.986,-0.001,-0.32,-0.747,1.927,-3.555,-0.917,-0.066,2.165,-0.159,-0.282,0.194,0.53,-0.29,-0.16,0.14,-1.734,-1.176,1.009,-0.117,0.149,-0.725
sample203,0.5,-0.264,2.247,0.657,1.84,0.459,-0.717,-1.556,-1.081,-0.029,0.54,-0.908,-2.241,-0.858,-1.1,1.115,-0.395,-1.389,0.543,-0.49,0.054,0.739,-0.453,0.6,1.121,-0.564,1.145,0.248,1.235,0.615,-0.519,1.13,0.966,-1.31,0.133,-0.054,-0.13,2.234,-1.307,0.222,0.61,0.83,0.808,-1.513,0.113,-0.707,2.28,2.529,0.281,-0.2,1.63,-0.298,1.306,-1.549,-2.614,-1.283,-0.077,-0.087,-0.391,-1.379,1.696,0.643,0.214,0.645,0.758,0.369,-1.845,-0.156,-2.311,1.007,-0.389,1.964,0.068,1.513,-0.606
sample204,0.834,-0.666,0.252,-1.905,-0.721,-0.073,0.006,-0.723,-0.275,0.171,0.331,0.731,1.044,-0.235,-0.668,0.921,-2.246,-0.639,0.702,-0.161,-1.282,-2.292,-1.479,0.002,-1.545,0.077,-1.837,-0.104,0.318,1.221,-0.262,-0.346,0.067,-2.058,-0.129,-0.412,-0.297,-0.002,-1.974,1.322,1.43,-1.379,-0.684,-0.311,0.25,0.503,2.299,-1.24,0.767,-1.182,0.054,-0.601,2.437,1.946,-0.711,0.995,-0.119,-0.129,1.968,-0.846,-0.595,1.211,-1.218,1.195,1.401,0.986,0.976,-0.562,-0.965,-0.543,2.018,-0.344,1.295,-1.637,-0.318
sample205,0.345,-0.649,-0.098,2.084,0.976,-0.825,-0.811,0.4,-0.231,1.96,-1.485,2.837,0.297,-1.022,-0.783,1.238,0.329,-1.848,-2.254,-0.291,1.028,0.682,-2.015,-1.262,1.353,-0.082,1.124,0.965,-1.383,0.899,-0.317,0.013,1.369,-0.094,0.416,-0.077,0.031,0.575,0.072,-1.154,0.077,1.334,-0.772,-0.402,0.782,-1.367,-0.748,0.114,-1.012,-1.27,-1.73,0.108,-0.323,-1.462,-0.37,-0.295,1.118,-2.375,1.052,0.022,-1.314,0.884,-0.01,-1.674,0.587,-0.417,0.25,-0.529,1.449,-0.578,-0.143,-0.493,-0.625,1.316,-0.629
sample206,-1.522,-1.103,-0.216,0.778,0.532,-1.266,0.982,-0.745,-1.033,-1.166,-0.788,-1.303,-0.286,-1.255,1.352,-2.529,-0.749,1.012,0.371,0.296,-0.485,-1.4,-1.322,0.117,-1.309,-0.915,0.58,-0.082,0.318,0.544,-0.859,-0.049,-0.444,-1.473,-1.446,-0.021,0.219,-0.025,0.511,-0.689,1.038,-0.665,-1.504,-1.249,-1.029,0.47,0.252,2.226,-1.065,-0.259,0.167,0.096,-0.116,0.068,0.782,1.328,-0.766,-0.65,0.109,-0.787,0.494,-0.013,0.291,0.485,0.83,-1.06,-0.123,1.532,1.151,-0.069,-0.13,0.152,-0.005,0.08,0.041
sample207,-0.298,0.836,-2.329,0.927,-1.545,0.483,-0.097,-2.164,0.219,-0.58,-1.935,-0.562,0.755,0.865,1.456,-0.937,1.727,-0.542,-1.629,-0.053,-1.117,-0.189,0.414,-1.955,-0.4,0.774,0.503,-0.869,0.774,0.309,0.404,-0.723,-2.411,-1.526,-0.428,-1.755,1.2,0.478,-1.799,-0.198,0.227,0.649,0.035,-0.229,-1.044,0.147,-0.328,-1.973,-1.292,0.911,1.02,-1.347,-1.541,-0.054,-0.679,-2.061,-1.68,0.809,0.396,-0.974,0.995,-1.11,-0.63,-0.445,0.383,-1.373,0.943,-1.207,-0.456,0.392,-0.004,-0.62,0.198,0.861,-0.597
sample208,-0.671,0.361,-0.181,0.12,-1.696,-1.579,1.844,-0.579,1.257,1.911,2.293,-0.431,0.549,-1.904,0.019,-0.849,-1.369,1.155,-1.304,0.004,1.426,-0.233,-0.558,0.075,-2.129,-1.54,0.26,0.937,0.916,0.214,-0.994,-0.668,-0.675,-0.85,0.82,0.524,-0.523,1.313,-0.548,0.248,-0.68,-0.69,-1.361,0.0,0.793,1.334,-0.83,0.344,-0.472,-1.197,0.751,0.616,0.767,1.855,-0.003,0.316,0.469,-0.124,-0.546,-0.243,0.524,-0.684,-0.301,-0.979,0.108,0.776,-0.49,-1.059,-0.507,-1.373,-0.678,0.442,2.053,-0.18,-1.035
sample209,0.727,-0.361,-1.035,0.404,0.928,0.709,0.676,0.981,-0.869,-0.656,0.902,-0.358,0.745,-1.494,-0.864,0.378,-1.126,1.108,0.001,-0.624,0.788,0.651,0.681,0.818,0.263,-0.307,-0.43,-1.249,0.43,0.408,-0.922,0.793,-1.121,-1.284,-0.392,-2.19,2.236,-1.225,0.316,0.127,0.698,0.477,-0.225,-0.58,-1.299,1.141,1.089,1.001,-0.422,-0.345,-1.499,-0.493,1.565,-1.361,-0.62,0.508,0.202,-0.025,0.269,1.642,-0.448,0.119,-1.996,-0.544,0.925,-0.322,1.204,0.018,0.629,-0.521,0.246,-0.817,-0.826,-0.249,0.718
sample210,0.749,-0.353,-0.332,1.143,-0.861,0.211,0.219,1.007,-1.558,-1.105,-0.814,0.169,-0.48,-1.829,-1.338,1.129,0.982,-0.556,-0.751,-0.248,0.204,0.476,1.879,-0.575,-0.381,-0.563,3.506,0.565,0.42,-0.479,0.961,0.735,-0.479,0.151,1.072,0.889,-0.918,1.601,-2.236,0.207,1.464,-0.486,0.484,1.521,-2.26,-1.844,0.605,-1.975,-2.196,2.029,0.897,0.956,-0.59,0.173,0.198,1.014,-0.425,2.084,1.141,-1.3,-1.323,-1.506,1.527,0.979,0.352,0.746,-1.39,0.089,-2.106,0.436,0.033,-0.566,1.291,-0.825,-0.814
sample211,-0.279,-2.511,-1.175,1.24,0.351,-1.676,-0.154,-0.295,-0.929,1.018,-0.369,-0.73,0.571,0.047,-1.596,0.235,0.195,-0.123,-0.458,0.185,0.862,0.204,-0.219,-0.495,0.767,0.228,-0.128,0.125,-0.33,-1.406,0.716,-0.063,3.045,-1.636,-0.494,-2.003,-1.148,-1.055,-1.545,-0.964,-0.77,-2.289,3.035,0.627,0.151,-1.191,-0.432,0.224,0.245,-0.52,0.192,0.221,-0.538,-0.777,0.079,0.369,1.291,1.124,0.902,-1.245,1.053,-0.343,-0.691,-1.757,1.007,0.061,-0.199,-0.086,-0.938,-1.323,1.68,-0.336,-0.062,-0.418,0.637
sample212,0.497,-0.07,0.775,0.35,0.324,-0.623,-1.158,1.646,-0.624,-0.252,-0.804,-0.329,0.226,-0.285,-0.391,0.067,-0.89,-0.55,0.039,-0.36,-1.909,0.309,0.367,-0.99,0.741,-1.191,0.964,-0.544,1.964,-0.708,-0.327,0.277,0.045,1.148,-0.188,-2.59,-1.002,0.466,-0.547,-1.807,0.061,-0.438,0.32,-0.232,0.35,-0.704,1.007,0.546,0.242,0.294,-0.27,0.977,0.29,2.577,-0.398,0.293,-0.836,1.312,-1.744,-1.992,-0.835,1.124,-0.858,-1.522,0.537,0.667,1.22,-0.91,1.763,0.919,-1.049,0.377,0.663,0.402,0.519
sample213,-0.464,-1.16,0.188,-1.106,0.679,-1.071,0.146,-0.202,0.786,-0.294,-0.827,0.369,0.249,1.314,1.038,-1.833,0.67,0.477,-1.631,-0.178,-0.837,1.026,1.022,-0.027,-1.245,0.266,-1.241,1.622,-0.19,0.464,-0.468,0.651,0.956,-0.574,0.938,0.273,0.8,-2.138,-0.598,1.143,0.312,-0.577,0.302,1.334,-1.014,1.307,-0.829,1.195,-1.035,0.784,-1.073,-0.99,0.681,0.245,-0.193,1.037,0.894,-0.627,-1.117,0.247,-0.525,-0.384,-1.208,0.618,1.538,-0.968,-0.184,-0.003,0.503,0.658,-0.695,0.043,-1.393,-2.173,0.653
sample214,-1.075,0.506,-1.096,-0.318,-1.112,-0.593,0.167,0.05,-0.226,-1.223,1.659,-1.155,1.374,0.188,1.387,0.51,-0.277,0.28,0.493,0.143,0.315,0.245,1.493,1.529,-0.067,-0.48,0.738,1.311,-1.451,-0.599,-0.434,-1.62,0.258,0.407,-0.137,0.475,-0.197,1.667,-1.196,-0.189,0.304,1.559,-0.05,0.844,-1.385,0.885,-0.201,-0.64,-1.464,-0.306,1.598,-0.182,0.416,0.2,-0.327,1.527,0.883,0.696,-0.804,0.089,0.074,-1.719,1.846,0.257,1.032,-1.566,-2.01,1.345,-0.19,0.282,-0.722,1.425,-2.587,0.143,0.892
sample215,2.148,1.869,-1.667,0.858,-0.294,1.327,0.473,-1.211,-1.055,-0.042,1.543,0.397,0.524,-0.676,1.004,0.819,0.889,0.867,-0.031,-1.297,-0.295,-0.045,1.257,-1.136,-1.367,0.694,-0.013,-1.006,0.669,0.41,0.026,-0.775,0.112,0.747,-0.545,-1.104,-0.199,1.064,-0.616,-2.452,-0.08,-1.704,-1.874,-0.072,-2.093,-0.217,-0.367,-2.56,-0.03,-0.315,0.363,0.626,-1.12,0.877,-1.223,-0.423,-0.334,-1.343,-0.818,-0.513,-0.796,0.232,-1.979,-1.229,-1.295,-1.168,1.382,0.203,-1.44,0.894,-0.683,1.921,-0.004,0.095,1.668
sample216,-0.337,0.854,-1.432,-0.383,0.84,-0.729,0.391,0.555,0.104,0.591,-1.732,0.166,0.239,0.796,-0.25,0.592,-0.483,-1.809,-0.367,-0.619,-0.659,-0.126,0.553,0.726,-0.679,2.271,1.402,0.645,-0.607,-1.492,1.527,0.103,0.603,0.379,-0.301,-2.464,-0.9,2.49,-0.167,0.194,0.658,-0.943,-0.959,0.009,0.079,0.851,-2.213,-0.461,2.462,2.089,0.989,-1.23,0.472,-0.38,-1.223,-1.27,1.58,0.639,-1.442,-1.144,-0.463,-1.123,-0.931,0.627,-0.041,-0.304,-0.037,1.164,0.62,0.565,1.956,0.055,-0.679,0.16,-0.962
sample217,1.029,-0.898,-0.143,0.321,-0.298,-1.208,0.197,-0.701,0.159,1.501,-0.902,0.608,0.976,-1.506,-1.014,0.539,-1.187,-0.708,0.023,-1.278,0.402,-0.574,0.567,-1.37,-0.089,-1.727,-1.15,-0.037,-0.538,-0.004,1.523,-1.713,1.008,-0.981,-0.554,2.494,0.053,0.458,-0.665,-0.574,2.206,0.592,0.153,-1.183,-0.849,0.374,-0.318,-0.989,1.403,-0.644,1.636,-1.888,1.3,-0.495,1.763,-0.995,0.063,-0.587,0.015,0.466,1.421,-0.22,-0.932,1.396,-0.306,-0.272,0.125,-2.113,-0.458,-0.035,-0.273,-0.857,0.596,-0.108,-0.442
sample218,1.282,-0.344,1.246,0.207,-2.738,-0.492,-0.018,0.987,0.2,2.068,-0.074,-0.515,0.17,-0.992,0.987,0.389,0.081,1.085,-0.047,-0.405,-0.859,-0.94,0.48,-0.099,-0.054,0.521,-0.852,-0.639,-0.95,-0.097,-1.138,-1.794,0.154,0.216,-2.51,-1.841,-0.574,-0.307,-1.288,-1.164,-0.424,-0.342,0.804,1.749,0.125,0.045,-0.729,-0.443,-0.049,0.504,-2.374,0.528,-0.166,-0.542,-2.142,-1.41,-0.451,0.521,0.674,0.466,0.324,-1.136,0.62,-0.119,-0.779,0.941,1.43,0.433,1.462,1.198,-0.279,-0.341,-0.393,1.063,0.624
sample219,0.463,-0.3,-0.872,-1.637,0.045,-1.102,1.774,0.043,0.787,1.061,0.25,-0.027,-0.187,0.15,1.022,0.484,-0.192,-0.156,-0.943,1.554,0.114,-0.86,-1.812,1.288,-1.33,0.55,-0.415,0.858,1.545,0.607,0.332,-1.047,0.853,0.922,-0.661,2.322,-0.225,0.88,0.624,0.171,1.269,-1.231,0.709,-1.086,0.195,0.961,0.069,-0.672,-0.214,0.96,-0.86,-0.983,-0.473,-2.911,-1.182,0.117,0.049,0.649,-0.618,-0.826,-0.859,-0.749,-2.502,-1.142,-1.536,0.402,0.85,0.578,1.06,-0.528,-1.689,-0.941,-0.546,-2.233,0.276
sample220,-0.599,0.098,0.6,-0.634,-0.653,-3.059,-0.148,0.694,0.781,0.326,-0.756,1.589,0.245,1.323,0.305,0.975,1.389,-0.595,-0.596,-1.984,0.547,0.041,0.751,0.503,1.555,0.025,-0.914,0.476,0.917,-0.905,-0.299,1.524,-1.546,-1.51,-0.031,-0.116,0.135,-2.24,-0.441,0.159,0.755,-0.057,0.822,0.507,1.278,0.268,-1.7,0.869,-0.609,0.801,-0.453,-0.527,0.825,0.843,-1.578,0.772,-0.378,0.253,0.589,-0.942,-1.388,0.061,0.88,0.552,0.922,0.006,1.372,1.419,1.43,1.831,-1.935,0.285,-0.63,0.009,-0.845
sample221,0.196,0.898,0.612,0.928,-0.318,1.405,0.829,0.647,1.165,0.729,0.735,0.851,1.621,-1.103,0.536,-0.69,1.676,1.757,-1.944,0.403,-1.453,-0.811,2.1,-0.351,0.106,-0.824,0.122,0.194,-0.477,0.277,1.435,1.142,1.297,-2.007,0.076,0.147,-0.397,-1.165,-0.475,0.661,-0.004,-1.471,-0.456,1.224,1.092,1.063,1.487,0.374,-1.167,-0.341,0.387,1.018,-0.179,-0.375,1.163,-2.087,-0.149,-0.956,0.014,0.137,-1.288,0.486,0.754,-2.337,-1.202,-0.545,-0.474,0.346,0.425,1.889,0.022,-0.501,-0.66,0.888,-1.538
sample222,-1.09,-0.029,0.217,-1.784,0.5,-1.456,-1.025,-0.851,0.582,2.016,0.182,0.948,-0.762,0.172,-0.135,2.015,1.37,-1.152,1.197,-2.199,-0.486,-0.12,-0.38,0.465,0.13,-0.427,-2.13,-0.254,0.919,2.504,-0.557,-0.826,-0.286,1.139,-0.753,-1.777,0.983,-0.653,0.611,-1.459,-1.688,0.817,-0.051,0.894,0.152,1.012,1.366,-0.306,-1.334,-1.49,1.221,-0.55,-0.367,-0.745,-0.19,-1.071,-0.777,-0.717,0.417,-1.641,-0.119,0.353,1.667,-0.854,-0.3,0.677,0.176,0.093,0.411,0.993,0.427,1.584,0.583,-0.345,0.481
sample223,0.976,0.964,0.604,-1.507,0.337,0.637,-0.568,-0.322,-0.075,-0.693,1.361,-0.771,0.55,1.615,-0.731,-0.705,0.603,0.711,0.181,-0.529,-0.528,0.554,0.682,-0.403,-0.085,-0.453,0.788,-0.945,0.976,-0.032,-0.237,-0.01,0.677,0.131,-0.812,1.063,-0.818,0.558,-0.587,0.449,-0.923,-0.252,-0.499,-1.537,-0.618,2.114,0.925,-1.219,-0.159,1.458,0.718,0.863,0.268,0.15,0.773,-0.04,0.369,0.545,0.532,0.959,-0.778,1.282,-1.307,1.487,0.724,-1.932,-1.409,1.046,1.014,1.305,0.634,-1.475,-0.236,-0.467,0.958
sample224,1.864,1.059,0.551,-0.479,-0.157,-0.485,-0.064,0.084,-0.746,-1.57,1.335,-0.832,0.604,1.812,0.476,-1.203,1.16,-1.266,-1.467,1.396,0.074,0.344,-0.033,-1.095,-0.337,-0.039,-0.945,0.545,-0.138,-0.457,-0.005,-0.327,-0.192,0.739,-1.047,1.399,-0.386,0.484,0.256,0.217,-0.389,0.9,0.958,-0.691,-0.236,1.721,-2.882,0.806,1.58,1.131,-0.817,1.301,0.963,-1.72,-2.926,-0.851,-0.906,1.738,0.164,-0.444,-1.156,0.678,-1.65,1.303,0.15,1.641,-0.299,0.08,0.824,-1.67,1.103,1.067,-0.804,-0.318,0.573
sample225,1.14,-0.268,-0.282,-1.943,1.649,-0.927,0.92,1.564,0.396,-0.652,0.349,0.862,-1.126,-0.948,-0.341,-0.016,-0.705,-0.755,0.133,-1.675,-0.947,1.183,-0.417,-0.98,0.115,-0.701,0.417,1.475,0.169,0.013,-0.842,-1.719,0.09,0.043,0.221,-1.18,-0.523,-0.168,0.295,0.788,-0.863,1.38,-3.277,0.077,0.095,-0.226,0.176,-0.787,1.859,-0.005,0.689,0.909,-0.475,0.282,-1.077,1.578,-1.356,1.285,0.232,-2.346,-0.022,-0.67,-0.265,-0.472,-0.166,-0.776,-1.533,1.668,-0.428,-1.066,0.162,-1.021,-0.02,-0.31,-0.038
sample226,-0.267,-0.671,-0.211,0.376,-1.159,0.146,-1.232,0.084,0.056,-1.045,0.973,1.324,-0.757,-0.671,-0.605,-0.726,-0.581,0.928,0.276,0.583,-0.188,0.615,-0.479,-0.18,-0.409,0.803,-1.832,0.361,0.587,-1.302,-1.133,-0.26,-1.191,-0.37,-0.86,0.472,0.161,-1.354,-1.949,0.68,-0.681,0.087,-1.481,0.23,0.696,-0.587,0.067,-1.342,0.34,-2.065,1.316,-1.939,1.287,1.276,-1.025,0.667,-1.133,1.796,-0.119,-0.067,1.13,-1.413,0.618,0.264,1.287,-0.5,-0.333,0.126,0.045,-0.119,0.098,-0.905,0.1,-1.124,-2.009
sample227,-0.321,-1.313,1.499,-1.788,0.528,-0.723,-0.525,-0.949,0.537,-0.224,0.755,0.372,-0.331,0.965,-0.661,0.482,-1.829,-1.655,1.498,0.872,-0.434,0.558,0.255,0.261,-0.583,0.525,-0.82,0.016,0.688,0.106,1.006,-0.447,0.648,-1.238,-1.363,0.53,2.024,-0.151,-0.743,-0.161,0.507,1.184,0.279,0.093,1.605,-0.932,-0.072,0.211,1.148,-1.462,0.595,-0.616,0.442,-1.246,-1.153,-0.728,0.036,-0.162,1.077,0.208,1.413,-0.165,1.147,2.427,0.534,2.078,0.943,-1.634,0.735,-1.131,0.089,-0.38,0.655,0.139,1.006
sample228,0.07,-0.539,0.572,-1.047,0.959,-0.762,-0.035,1.104,0.261,-0.804,-0.111,-0.911,-0.039,0.495,0.916,-0.555,0.196,-1.271,-0.246,0.071,-0.869,0.049,-0.17,0.122,-0.494,-0.436,-0.006,0.876,0.585,-0.78,-1.89,0.583,0.369,0.407,0.747,1.851,-0.635,0.658,-0.645,-0.215,1.247,0.599,1.178,0.608,1.156,-0.614,0.49,0.713,-0.125,0.946,-0.323,0.706,2.143,-0.132,0.206,-0.94,-0.218,0.078,2.955,0.197,-0.367,0.375,0.305,-0.587,-0.921,-1.461,-0.66,-0.194,-1.077,-1.488,-1.088,-0.633,0.362,-0.676,0.697
sample229,-1.031,-0.62,-0.442,-2.035,-1.242,-1.831,-0.048,-0.47,1.666,0.218,1.683,-1.246,0.029,-0.822,0.212,-0.874,0.284,0.502,-0.198,0.616,0.664,-0.237,-0.627,-0.509,-0.069,1.771,-0.415,-0.288,1.356,0.22,1.372,0.419,-1.14,0.627,-1.548,-0.801,-0.194,1.588,-1.652,-0.544,-0.94,-0.225,0.162,-1.535,-0.25,0.328,-0.363,0.727,-1.405,0.291,0.345,0.256,0.723,1.394,-0.114,1.493,0.573,0.144,0.562,-2.346,-0.444,-0.249,0.297,1.635,0.566,-1.226,-1.181,3.048,0.451,0.234,-1.65,-0.518,0.032,-1.934,0.75
sample230,0.254,-0.791,0.111,-1.117,0.213,-1.831,-0.416,1.062,-1.095,0.078,-0.664,0.983,1.336,2.263,-1.582,1.413,-0.36,-0.819,0.835,-1.185,1.118,0.536,0.337,-1.046,0.021,0.98,1.724,-1.128,0.17,1.196,0.049,-1.57,-0.399,-1.156,-0.056,1.231,-0.603,-0.466,-1.054,-1.533,1.209,-0.289,-0.479,-2.142,-0.433,-0.255,0.056,-0.862,-0.757,-0.576,-0.23,-0.295,-1.751,0.221,-1.033,0.188,-0.342,0.014,1.377,-1.704,0.889,0.894,-2.401,0.105,1.756,0.273,-1.176,-1.184,0.198,-0.809,-1.612,1.867,0.99,1.158,1.253
sample231,1.174,-0.466,-2.841,0.306,1.299,0.967,0.657,-0.48,-0.786,-1.072,-0.586,-0.215,-0.052,0.309,0.628,0.535,-1.418,0.807,0.11,-0.703,-1.87,0.99,0.791,-1.152,-0.596,0.958,1.035,-0.272,0.589,1.001,-0.145,-0.664,-0.875,0.455,0.544,0.403,0.249,-1.052,-1.476,-0.15,1.433,0.79,-2.016,-0.942,-1.362,-0.114,-0.535,-1.283,-0.595,2.603,1.785,-0.889,0.356,0.392,0.758,0.0,-0.874,1.049,0.412,-0.449,1.151,-1.621,-0.23,-2.038,1.43,-0.035,0.493,0.071,-1.909,-0.819,-0.512,-2.482,-0.334,0.322,-0.69
sample232,-0.302,-0.67,-1.026,0.265,-1.174,0.238,-0.488,0.873,-1.791,-1.219,0.311,-0.819,-1.474,-0.679,0.825,-0.55,0.28,0.62,0.627,-1.295,-0.831,-1.847,0.199,-0.182,1.737,-0.401,0.57,1.64,0.05,0.397,-0.353,-0.287,-0.93,-0.938,1.387,-0.914,1.963,-0.295,0.565,0.237,-0.789,0.093,1.772,1.149,-1.606,0.178,0.913,1.801,-0.392,1.578,2.193,0.88,0.137,0.518,-0.024,1.86,-0.665,0.006,0.51,2.915,0.995,0.207,0.625,-1.541,0.109,0.089,-0.693,-1.395,0.29,-0.204,-0.856,-0.863,-0.848,-2.612,0.145
sample233,-1.348,-0.347,-0.138,-2.75,0.367,0.693,-0.234,1.092,1.124,-0.55,1.557,-0.587,0.401,-1.375,-0.803,0.77,-0.218,0.629,1.263,1.26,1.396,-0.078,1.506,-0.087,1.147,-1.894,-0.231,1.251,-0.044,-0.704,-0.191,-2.739,1.424,-0.017,-0.817,1.653,1.457,0.779,-1.248,0.658,0.462,-0.062,1.562,0.659,1.2,-1.582,-0.228,-0.364,-0.761,0.468,0.226,-0.536,0.314,-0.028,1.788,-0.727,0.127,0.087,0.726,1.52,0.684,-0.094,-0.349,-0.972,0.996,-1.489,-0.645,0.957,0.043,0.15,-0.327,0.05,-1.779,0.471,-1.597
sample234,0.558,-0.068,0.845,-0.746,-0.472,0.186,0.967,0.612,-0.178,0.654,-1.167,-0.721,-0.539,0.584,-0.793,-1.104,0.329,0.306,-0.051,-0.687,0.11,0.315,-1.899,-0.071,0.316,-0.158,-0.155,-0.94,-0.217,0.208,0.1,-0.682,-1.924,1.666,-1.724,-0.895,0.689,0.265,-0.722,0.429,0.665,-0.498,1.857,0.734,1.884,-0.056,0.407,0.461,0.841,0.44,0.386,-1.819,1.77,0.541,0.07,1.318,-2.492,0.096,0.372,0.632,0.312,-0.742,0.064,-0.284,-0.848,-1.76,0.579,-1.329,-1.061,-0.736,0.763,0.545,-0.525,0.537,0.068
sample235,-0.811,0.874,-0.716,0.697,-1.529,-0.037,1.064,-0.405,0.225,0.27,1.97,-1.811,0.28,-0.259,-0.115,-1.105,1.488,0.334,-0.594,-0.024,0.435,-1.22,-0.32,1.992,-0.37,-0.197,0.592,-0.558,2.09,0.795,0.152,0.529,-0.002,-0.055,-1.601,-0.918,0.957,0.341,-0.385,-1.089,0.801,-0.102,0.798,1.075,-0.441,-0.802,1.289,-1.563,0.869,-0.094,-0.716,1.582,0.052,0.744,2.406,0.485,0.815,0.335,-0.388,-0.344,-0.069,0.045,-0.788,-1.406,-0.825,-0.282,0.564,-0.487,1.129,0.478,0.274,0.579,0.399,-1.998,2.245
sample236,0.553,-0.581,-0.235,-0.016,-0.402,-0.47,0.551,-1.738,-1.169,-1.386,0.008,-0.147,1.575,1.64,0.611,-1.069,0.143,-1.656,-0.901,-0.632,0.428,1.567,0.197,-1.007,0.088,0.613,0.734,0.204,-0.669,0.696,2.211,-0.912,-0.632,-0.853,1.331,-0.021,1.878,-0.491,1.563,0.667,-0.668,-0.046,1.539,0.02,-0.057,-0.357,1.529,0.723,-0.95,0.005,0.516,-0.703,0.971,-1.038,-0.251,-0.386,-1.861,-0.28,-0.086,0.478,1.969,-0.259,-0.284,-0.927,-0.485,-0.056,-0.709,-1.272,2.024,0.12,0.927,-0.34,-1.027,-0.565,-0.155
sample237,0.92,0.494,1.67,0.396,0.915,0.985,1.098,0.967,0.972,1.283,-1.118,-0.16,-0.187,-1.053,-0.794,-0.096,1.002,0.68,1.507,-0.709,0.059,-1.175,-1.071,-0.917,1.355,1.24,-0.403,0.477,-1.246,-0.362,-0.17,-0.56,-0.586,0.681,0.574,1.751,0.066,0.122,0.882,-0.095,-0.166,-0.108,0.814,-0.86,-0.477,-0.082,-0.571,0.515,-1.159,0.617,-0.881,-0.442,0.13,1.076,-1.296,-0.609,-0.534,-0.232,-0.288,0.271,-0.651,-0.12,1.455,-0.825,0.355,-0.107,0.223,-0.575,-0.564,-0.023,-0.013,1.456,-0.872,-0.72,0.338
sample238,1.505,0.01,-0.928,0.101,0.296,-0.665,-0.274,0.634,-0.342,-0.809,-0.674,-1.143,1.438,-0.317,-0.176,-1.576,-1.912,0.564,0.33,0.051,1.621,1.245,1.01,-0.817,0.602,0.285,-0.774,1.506,0.984,0.603,-0.088,1.017,-0.414,0.459,0.256,-1.219,-2.42,-1.259,0.627,-0.484,1.748,1.165,0.715,0.649,1.611,1.279,2.537,1.299,0.219,-0.299,-0.746,1.302,-1.585,0.119,-0.28,0.378,-0.398,0.297,-0.342,-0.016,-0.844,-0.41,-1.385,-0.368,-0.288,0.266,1.438,1.636,0.761,0.722,1.128,-2.511,1.11,0.126,1.109
